hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2023,1,310.9,315.07
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2023,2,315.41,317.53
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2023,3,323.03,321.98
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2023,4,329.57,324.98
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2023,5,336.57,328.97
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2023,6,338.04,328.84
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2023,7,340.4,332.48
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2023,8,341.36,336.0
traditional,purchase-only,monthly,USA or Census Division,East South Central Division,DV_ESC,2023,1,370.62,372.02
traditional,purchase-only,monthly,USA or Census Division,East South Central Division,DV_ESC,2023,2,378.28,377.9
traditional,purchase-only,monthly,USA or Census Division,East South Central Division,DV_ESC,2023,3,382.4,379.33
traditional,purchase-only,monthly,USA or Census Division,East South Central Division,DV_ESC,2023,4,382.28,379.09
traditional,purchase-only,monthly,USA or Census Division,East South Central Division,DV_ESC,2023,5,386.6,380.86
traditional,purchase-only,monthly,USA or Census Division,East South Central Division,DV_ESC,2023,6,388.7,382.02
traditional,purchase-only,monthly,USA or Census Division,East South Central Division,DV_ESC,2023,7,392.99,384.26
traditional,purchase-only,monthly,USA or Census Division,East South Central Division,DV_ESC,2023,8,391.14,386.14
traditional,purchase-only,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2023,1,335.41,337.29
traditional,purchase-only,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2023,2,339.18,341.17
traditional,purchase-only,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2023,3,344.46,343.9
traditional,purchase-only,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2023,4,354.16,350.34
traditional,purchase-only,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2023,5,358.27,350.52
traditional,purchase-only,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2023,6,360.81,354.07
traditional,purchase-only,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2023,7,366.39,358.62
traditional,purchase-only,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2023,8,366.34,362.13
traditional,purchase-only,monthly,USA or Census Division,Mountain Division,DV_MT,2023,1,557.54,564.89
traditional,purchase-only,monthly,USA or Census Division,Mountain Division,DV_MT,2023,2,570.08,571.71
traditional,purchase-only,monthly,USA or Census Division,Mountain Division,DV_MT,2023,3,569.52,565.46
traditional,purchase-only,monthly,USA or Census Division,Mountain Division,DV_MT,2023,4,580.35,569.59
traditional,purchase-only,monthly,USA or Census Division,Mountain Division,DV_MT,2023,5,583.83,571.58
traditional,purchase-only,monthly,USA or Census Division,Mountain Division,DV_MT,2023,6,586.9,576.0
traditional,purchase-only,monthly,USA or Census Division,Mountain Division,DV_MT,2023,7,590.95,579.42
traditional,purchase-only,monthly,USA or Census Division,Mountain Division,DV_MT,2023,8,588.91,583.29
traditional,purchase-only,monthly,USA or Census Division,New England Division,DV_NE,2023,1,372.41,374.59
traditional,purchase-only,monthly,USA or Census Division,New England Division,DV_NE,2023,2,377.02,380.18
traditional,purchase-only,monthly,USA or Census Division,New England Division,DV_NE,2023,3,383.87,380.68
traditional,purchase-only,monthly,USA or Census Division,New England Division,DV_NE,2023,4,395.84,388.56
traditional,purchase-only,monthly,USA or Census Division,New England Division,DV_NE,2023,5,394.76,386.5
traditional,purchase-only,monthly,USA or Census Division,New England Division,DV_NE,2023,6,405.77,394.3
traditional,purchase-only,monthly,USA or Census Division,New England Division,DV_NE,2023,7,407.95,398.27
traditional,purchase-only,monthly,USA or Census Division,New England Division,DV_NE,2023,8,406.96,399.74
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,2023,1,433.99,438.25
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,2023,2,437.85,438.29
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,2023,3,444.15,439.83
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,2023,4,449.08,442.24
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,2023,5,458.69,449.44
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,2023,6,460.23,452.04
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,2023,7,457.49,453.2
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,2023,8,461.63,458.23
traditional,purchase-only,monthly,USA or Census Division,South Atlantic Division,DV_SA,2023,1,424.58,426.07
traditional,purchase-only,monthly,USA or Census Division,South Atlantic Division,DV_SA,2023,2,427.91,427.47
traditional,purchase-only,monthly,USA or Census Division,South Atlantic Division,DV_SA,2023,3,434.39,430.23
traditional,purchase-only,monthly,USA or Census Division,South Atlantic Division,DV_SA,2023,4,439.21,432.69
traditional,purchase-only,monthly,USA or Census Division,South Atlantic Division,DV_SA,2023,5,444.28,436.22
traditional,purchase-only,monthly,USA or Census Division,South Atlantic Division,DV_SA,2023,6,448.61,439.72
traditional,purchase-only,monthly,USA or Census Division,South Atlantic Division,DV_SA,2023,7,452.72,444.46
traditional,purchase-only,monthly,USA or Census Division,South Atlantic Division,DV_SA,2023,8,450.26,443.65
traditional,purchase-only,monthly,USA or Census Division,West North Central Division,DV_WNC,2023,1,367.42,372.67
traditional,purchase-only,monthly,USA or Census Division,West North Central Division,DV_WNC,2023,2,373.5,375.94
traditional,purchase-only,monthly,USA or Census Division,West North Central Division,DV_WNC,2023,3,380.29,378.26
traditional,purchase-only,monthly,USA or Census Division,West North Central Division,DV_WNC,2023,4,386.32,380.54
traditional,purchase-only,monthly,USA or Census Division,West North Central Division,DV_WNC,2023,5,393.46,383.53
traditional,purchase-only,monthly,USA or Census Division,West North Central Division,DV_WNC,2023,6,395.18,385.31
traditional,purchase-only,monthly,USA or Census Division,West North Central Division,DV_WNC,2023,7,396.93,387.48
traditional,purchase-only,monthly,USA or Census Division,West North Central Division,DV_WNC,2023,8,397.37,391.22
traditional,purchase-only,monthly,USA or Census Division,West South Central Division,DV_WSC,2023,1,398.31,401.4
traditional,purchase-only,monthly,USA or Census Division,West South Central Division,DV_WSC,2023,2,406.32,407.14
traditional,purchase-only,monthly,USA or Census Division,West South Central Division,DV_WSC,2023,3,409.42,408.45
traditional,purchase-only,monthly,USA or Census Division,West South Central Division,DV_WSC,2023,4,415.57,410.16
traditional,purchase-only,monthly,USA or Census Division,West South Central Division,DV_WSC,2023,5,420.19,412.65
traditional,purchase-only,monthly,USA or Census Division,West South Central Division,DV_WSC,2023,6,419.17,410.18
traditional,purchase-only,monthly,USA or Census Division,West South Central Division,DV_WSC,2023,7,419.57,412.61
traditional,purchase-only,monthly,USA or Census Division,West South Central Division,DV_WSC,2023,8,418.61,413.84
traditional,purchase-only,monthly,USA or Census Division,United States,USA,2023,1,389.69,392.69
traditional,purchase-only,monthly,USA or Census Division,United States,USA,2023,2,395.11,395.96
traditional,purchase-only,monthly,USA or Census Division,United States,USA,2023,3,400.79,398.02
traditional,purchase-only,monthly,USA or Census Division,United States,USA,2023,4,407.17,401.11
traditional,purchase-only,monthly,USA or Census Division,United States,USA,2023,5,412.81,404.18
traditional,purchase-only,monthly,USA or Census Division,United States,USA,2023,6,415.24,406.07
traditional,purchase-only,monthly,USA or Census Division,United States,USA,2023,7,417.62,409.37
traditional,purchase-only,monthly,USA or Census Division,United States,USA,2023,8,417.48,411.84
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2023,1,323.64,
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2023,2,314.08,
traditional,all-transactions,quarterly,MSA,"Akron, OH",10420,2023,1,220.55,
traditional,all-transactions,quarterly,MSA,"Akron, OH",10420,2023,2,231.64,
traditional,all-transactions,quarterly,MSA,"Albany, GA",10500,2023,1,218.7,
traditional,all-transactions,quarterly,MSA,"Albany, GA",10500,2023,2,221.53,
traditional,all-transactions,quarterly,MSA,"Albany-Lebanon, OR",10540,2023,1,385.76,
traditional,all-transactions,quarterly,MSA,"Albany-Lebanon, OR",10540,2023,2,394.07,
traditional,all-transactions,quarterly,MSA,"Albany-Schenectady-Troy, NY",10580,2023,1,274.61,
traditional,all-transactions,quarterly,MSA,"Albany-Schenectady-Troy, NY",10580,2023,2,291.11,
traditional,all-transactions,quarterly,MSA,"Albuquerque, NM",10740,2023,1,270.86,
traditional,all-transactions,quarterly,MSA,"Albuquerque, NM",10740,2023,2,278.82,
traditional,all-transactions,quarterly,MSA,"Alexandria, LA",10780,2023,1,270.52,
traditional,all-transactions,quarterly,MSA,"Alexandria, LA",10780,2023,2,271.0,
traditional,all-transactions,quarterly,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2023,1,275.32,
traditional,all-transactions,quarterly,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2023,2,284.87,
traditional,all-transactions,quarterly,MSA,"Altoona, PA",11020,2023,1,266.87,
traditional,all-transactions,quarterly,MSA,"Altoona, PA",11020,2023,2,259.99,
traditional,all-transactions,quarterly,MSA,"Amarillo, TX",11100,2023,1,281.18,
traditional,all-transactions,quarterly,MSA,"Amarillo, TX",11100,2023,2,287.6,
traditional,all-transactions,quarterly,MSA,"Ames, IA",11180,2023,1,277.66,
traditional,all-transactions,quarterly,MSA,"Ames, IA",11180,2023,2,287.99,
traditional,all-transactions,quarterly,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2023,1,495.04,
traditional,all-transactions,quarterly,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2023,2,505.26,
traditional,all-transactions,quarterly,MSA,"Anchorage, AK",11260,2023,1,300.2,
traditional,all-transactions,quarterly,MSA,"Anchorage, AK",11260,2023,2,302.38,
traditional,all-transactions,quarterly,MSA,"Ann Arbor, MI",11460,2023,1,278.71,
traditional,all-transactions,quarterly,MSA,"Ann Arbor, MI",11460,2023,2,297.56,
traditional,all-transactions,quarterly,MSA,"Anniston-Oxford, AL",11500,2023,1,265.14,
traditional,all-transactions,quarterly,MSA,"Anniston-Oxford, AL",11500,2023,2,255.18,
traditional,all-transactions,quarterly,MSA,"Appleton, WI",11540,2023,1,270.46,
traditional,all-transactions,quarterly,MSA,"Appleton, WI",11540,2023,2,284.79,
traditional,all-transactions,quarterly,MSA,"Asheville, NC",11700,2023,1,455.89,
traditional,all-transactions,quarterly,MSA,"Asheville, NC",11700,2023,2,483.63,
traditional,all-transactions,quarterly,MSA,"Athens-Clarke County, GA",12020,2023,1,355.58,
traditional,all-transactions,quarterly,MSA,"Athens-Clarke County, GA",12020,2023,2,372.85,
traditional,all-transactions,quarterly,MSA,"Atlanta-Sandy Springs-Alpharetta, GA",12060,2023,1,346.07,
traditional,all-transactions,quarterly,MSA,"Atlanta-Sandy Springs-Alpharetta, GA",12060,2023,2,354.47,
traditional,all-transactions,quarterly,MSA,"Atlantic City-Hammonton, NJ",12100,2023,1,326.88,
traditional,all-transactions,quarterly,MSA,"Atlantic City-Hammonton, NJ",12100,2023,2,348.84,
traditional,all-transactions,quarterly,MSA,"Auburn-Opelika, AL",12220,2023,1,284.46,
traditional,all-transactions,quarterly,MSA,"Auburn-Opelika, AL",12220,2023,2,299.94,
traditional,all-transactions,quarterly,MSA,"Augusta-Richmond County, GA-SC",12260,2023,1,275.89,
traditional,all-transactions,quarterly,MSA,"Augusta-Richmond County, GA-SC",12260,2023,2,292.54,
traditional,all-transactions,quarterly,MSA,"Austin-Round Rock-Georgetown, TX",12420,2023,1,533.75,
