zip_code,efficiency,one-bedroom,two-bedroom,three-bedroom,four-bedroom
20001,"$2,300","$2,340","$2,660","$3,330","$3,970"
20002,"$1,530","$1,560","$1,770","$2,210","$2,640"
20003,"$2,390","$2,430","$2,760","$3,450","$4,120"
20004,"$2,390","$2,430","$2,760","$3,450","$4,120"
20005,"$2,200","$2,240","$2,550","$3,190","$3,800"
20006,"$1,620","$1,650","$1,880","$2,350","$2,800"
20007,"$1,940","$1,980","$2,250","$2,810","$3,360"
20008,"$2,320","$2,360","$2,680","$3,350","$4,000"
20009,"$2,390","$2,430","$2,760","$3,450","$4,120"
20010,"$1,820","$1,850","$2,110","$2,640","$3,150"
20011,"$1,310","$1,330","$1,510","$1,890","$2,250"
20012,"$1,250","$1,270","$1,450","$1,810","$2,160"
20013,"$1,510","$1,540","$1,750","$2,190","$2,610"
20015,"$1,580","$1,610","$1,830","$2,290","$2,730"
20016,"$1,810","$1,840","$2,090","$2,610","$3,120"
20017,"$1,440","$1,470","$1,670","$2,090","$2,490"
20018,"$1,030","$1,050","$1,190","$1,490","$1,780"
20019,"$1,070","$1,090","$1,240","$1,550","$1,850"
20020,"$1,170","$1,190","$1,350","$1,690","$2,010"
20024,"$1,770","$1,800","$2,050","$2,560","$3,060"
20026,"$1,510","$1,540","$1,750","$2,190","$2,610"
20027,"$1,510","$1,540","$1,750","$2,190","$2,610"
20029,"$1,510","$1,540","$1,750","$2,190","$2,610"
20030,"$1,510","$1,540","$1,750","$2,190","$2,610"
20032,"$1,140","$1,160","$1,320","$1,650","$1,970"
20033,"$1,510","$1,540","$1,750","$2,190","$2,610"
20035,"$1,510","$1,540","$1,750","$2,190","$2,610"
20036,"$1,810","$1,840","$2,090","$2,610","$3,120"
20037,"$2,010","$2,050","$2,330","$2,910","$3,480"
20038,"$1,510","$1,540","$1,750","$2,190","$2,610"
20039,"$1,510","$1,540","$1,750","$2,190","$2,610"
20040,"$1,510","$1,540","$1,750","$2,190","$2,610"
20041,"$1,750","$1,780","$2,020","$2,530","$3,010"
20043,"$1,510","$1,540","$1,750","$2,190","$2,610"
20044,"$1,510","$1,540","$1,750","$2,190","$2,610"
20045,"$1,510","$1,540","$1,750","$2,190","$2,610"
20052,"$1,690","$1,720","$1,960","$2,520","$3,050"
20053,"$1,510","$1,540","$1,750","$2,190","$2,610"
20056,"$1,510","$1,540","$1,750","$2,190","$2,610"
20057,"$1,720","$1,750","$1,990","$2,520","$3,030"
20064,"$1,510","$1,540","$1,750","$2,190","$2,610"
20066,"$1,510","$1,540","$1,750","$2,190","$2,610"
20071,"$1,510","$1,540","$1,750","$2,190","$2,610"
20076,"$1,510","$1,540","$1,750","$2,190","$2,610"
20090,"$1,510","$1,540","$1,750","$2,190","$2,610"
20091,"$1,510","$1,540","$1,750","$2,190","$2,610"
